Object[11454], Relative count = 1, Enemy count = 342
Object[2783], Relative count = 2, Enemy count = 9
Object[2619], Relative count = 1, Enemy count = 29Object[7565], Relative count = 1, Enemy count = 16
Object[7311], Relative count = 2, Enemy count = 4
Object[2538], Relative count = 1, Enemy count = 3
Object[4340], Relative count = 1, Enemy count = 3
Object[442], Relative count = 1, Enemy count = 3
Object[13032], Relative count = 1, Enemy count = 4
Object[4422], Relative count = 3, Enemy count = 11
Object[7572], Relative count = 1, Enemy count = 4
Object[4269], Relative count = 1, Enemy count = 25
Object[9526], Relative count = 1, Enemy count = 15
Object[2355], Relative count = 1, Enemy count = 2
Object[4649], Relative count = 5, Enemy count = 6
Object[4830], Relative count = 1, Enemy count = 10
Object[5158], Relative count = 2, Enemy count = 14
Object[4620], Relative count = 1, Enemy count = 5
Object[2196], Relative count = 1, Enemy count = 2
Object[5058], Relative count = 2, Enemy count = 4

Object[4889], Relative count = 1, Enemy count = 14
Object[4042], Relative count = 1, Enemy count = 2
Object[2620], Relative count = 1, Enemy count = 45
Object[5127], Relative count = 1, Enemy count = 11
Object[13113], Relative count = 2, Enemy count = 3
Object[4917], Relative count = 1, Enemy count = 6
Object[7582], Relative count = 1, Enemy count = 13
Object[7537], Relative count = 1, Enemy count = 2
Object[7469], Relative count = 1, Enemy count = 2
Object[8871], Relative count = 1, Enemy count = 9
Object[2822], Relative count = 1, Enemy count = 51
Object[7507], Relative count = 1, Enemy count = 2

Object[5270], Relative count = 1, Enemy count = 30
Object[13220], Relative count = 1, Enemy count = 3
Object[4357], Relative count = 2, Enemy count = 3
Object[2038], Relative count = 1, Enemy count = 2
Object[2659], Relative count = 2, Enemy count = 10
Object[2068], Relative count = 1, Enemy count = 15
Object[13215], Relative count = 1, Enemy count = 4
Object[7408], Relative count = 1, Enemy count = 11
Object[7545], Relative count = 1, Enemy count = 3
Object[5452], Relative count = 1, Enemy count = 7
Object[13441], Relative count = 2, Enemy count = 4
Object[2582], Relative count = 1, Enemy count = 3
Object[13186], Relative count = 2, Enemy count = 4
Object[13033], Relative count = 1, Enemy count = 2
Object[2696], Relative count = 2, Enemy count = 5

Object[7510], Relative count = 1, Enemy count = 3
Object[2119], Relative count = 1, Enemy count = 11
Object[7528], Relative count = 1, Enemy count = 5
Object[13451], Relative count = 1, Enemy count = 8
Object[2526], Relative count = 1, Enemy count = 11
Object[2828], Relative count = 1, Enemy count = 9
Object[5119], Relative count = 1, Enemy count = 4
Object[7307], Relative count = 1, Enemy count = 5
Object[1969], Relative count = 1, Enemy count = 17
Object[2536], Relative count = 1, Enemy count = 5
Object[12983], Relative count = 1, Enemy count = 2
Object[12875], Relative count = 1, Enemy count = 2
Object[13046], Relative count = 1, Enemy count = 3
Object[2087], Relative count = 1, Enemy count = 8
Object[4477], Relative count = 2, Enemy count = 9
Object[7332], Relative count = 1, Enemy count = 2
Object[2581], Relative count = 1, Enemy count = 16
Object[1983], Relative count = 1, Enemy count = 20
Object[4471], Relative count = 1, Enemy count = 5
Object[13269], Relative count = 1, Enemy count = 2
Object[7266], Relative count = 1, Enemy count = 2
Object[13583], Relative count = 1, Enemy count = 3
Object[7580], Relative count = 1, Enemy count = 2
Object[7521], Relative count = 1, Enemy count = 4
Object[7665], Relative count = 1, Enemy count = 10
Object[4238], Relative count = 1, Enemy count = 5
Object[7575], Relative count = 1, Enemy count = 4
Object[13253], Relative count = 1, Enemy count = 2
Object[6491], Relative count = 1, Enemy count = 2
Object[7635], Relative count = 1, Enemy count = 2
Object[13165], Relative count = 1, Enemy count = 2
Object[7564], Relative count = 1, Enemy count = 4
Object[13264], Relative count = 1, Enemy count = 2
Object[2050], Relative count = 1, Enemy count = 3

Object[2845], Relative count = 2, Enemy count = 6
Object[4996], Relative count = 1, Enemy count = 2
Object[3878], Relative count = 1, Enemy count = 14
Object[7554], Relative count = 1, Enemy count = 10
Object[5525], Relative count = 1, Enemy count = 3

Object[13196], Relative count = 1, Enemy count = 2
Object[5245], Relative count = 3, Enemy count = 6
Object[2873], Relative count = 1, Enemy count = 2
Object[2804], Relative count = 2, Enemy count = 10
Object[7482], Relative count = 1, Enemy count = 3
Object[7337], Relative count = 1, Enemy count = 3
Object[2676], Relative count = 1, Enemy count = 4
Object[5151], Relative count = 1, Enemy count = 40
Object[2991], Relative count = 1, Enemy count = 6
Object[839], Relative count = 1, Enemy count = 6
Object[2074], Relative count = 1, Enemy count = 6
Object[3935], Relative count = 3, Enemy count = 4
Object[1168], Relative count = 1, Enemy count = 2
Object[9604], Relative count = 1, Enemy count = 2
Object[7597], Relative count = 1, Enemy count = 6
Object[13342], Relative count = 2, Enemy count = 4
Object[2945], Relative count = 1, Enemy count = 8
Object[9904], Relative count = 1, Enemy count = 2
Object[7515], Relative count = 1, Enemy count = 7
Object[13423], Relative count = 1, Enemy count = 2
Object[7513], Relative count = 2, Enemy count = 3
Object[7617], Relative count = 2, Enemy count = 9
Object[1961], Relative count = 1, Enemy count = 15
Object[7574], Relative count = 1, Enemy count = 14
Object[6259], Relative count = 1, Enemy count = 7

Object[7601], Relative count = 1, Enemy count = 8
Object[412], Relative count = 1, Enemy count = 2
Object[9529], Relative count = 1, Enemy count = 2
Object[13384], Relative count = 1, Enemy count = 3
Object[9898], Relative count = 1, Enemy count = 3
Object[13389], Relative count = 1, Enemy count = 13
Object[9890], Relative count = 1, Enemy count = 3
Object[1990], Relative count = 2, Enemy count = 14
Object[3917], Relative count = 1, Enemy count = 2
Object[4575], Relative count = 1, Enemy count = 2
Object[13435], Relative count = 1, Enemy count = 5
Object[13426], Relative count = 1, Enemy count = 9
Object[13362], Relative count = 1, Enemy count = 5
Object[13245], Relative count = 1, Enemy count = 3
Object[7422], Relative count = 1, Enemy count = 3
Object[7522], Relative count = 1, Enemy count = 3

Object[7595], Relative count = 1, Enemy count = 2
Object[9971], Relative count = 2, Enemy count = 3

Object[13357], Relative count = 1, Enemy count = 3
Object[13417], Relative count = 1, Enemy count = 2
Object[5123], Relative count = 1, Enemy count = 2
Object[2544], Relative count = 2, Enemy count = 5
Object[6399], Relative count = 1, Enemy count = 40
Object[706], Relative count = 2, Enemy count = 3
Object[2082], Relative count = 1, Enemy count = 3
Object[13309], Relative count = 1, Enemy count = 3
Object[2095], Relative count = 1, Enemy count = 20
Object[13565], Relative count = 1, Enemy count = 4
Object[2009], Relative count = 1, Enemy count = 18
Object[5262], Relative count = 2, Enemy count = 11
Object[7589], Relative count = 1, Enemy count = 5
Object[13274], Relative count = 1, Enemy count = 2
Object[9830], Relative count = 1, Enemy count = 7
Object[7596], Relative count = 1, Enemy count = 4
Object[13546], Relative count = 2, Enemy count = 3
Object[13409], Relative count = 1, Enemy count = 5
Object[7552], Relative count = 1, Enemy count = 2
Object[2235], Relative count = 1, Enemy count = 3
Object[13545], Relative count = 1, Enemy count = 3
Object[10021], Relative count = 1, Enemy count = 3
Object[7544], Relative count = 1, Enemy count = 2

Object[5606], Relative count = 2, Enemy count = 3
Object[13411], Relative count = 1, Enemy count = 2
Object[13602], Relative count = 1, Enemy count = 4
Object[13474], Relative count = 1, Enemy count = 3
Object[7551], Relative count = 1, Enemy count = 5
Object[13351], Relative count = 1, Enemy count = 5
Object[12758], Relative count = 2, Enemy count = 3
Object[13449], Relative count = 1, Enemy count = 4
Object[2591], Relative count = 1, Enemy count = 16
Object[1388], Relative count = 1, Enemy count = 4
Object[632], Relative count = 2, Enemy count = 3
Object[13485], Relative count = 1, Enemy count = 4
Object[1338], Relative count = 1, Enemy count = 2
Object[7562], Relative count = 2, Enemy count = 5
Object[2028], Relative count = 1, Enemy count = 2
Object[7610], Relative count = 1, Enemy count = 5
Object[3886], Relative count = 2, Enemy count = 5
Object[13477], Relative count = 2, Enemy count = 4
Object[2083], Relative count = 1, Enemy count = 7
Object[13305], Relative count = 1, Enemy count = 3
Object[2032], Relative count = 1, Enemy count = 2
Object[13424], Relative count = 2, Enemy count = 4
Object[13490], Relative count = 1, Enemy count = 7
Object[6427], Relative count = 2, Enemy count = 3
Object[13535], Relative count = 1, Enemy count = 4
Object[13430], Relative count = 1, Enemy count = 2
Object[2996], Relative count = 3, Enemy count = 4
Object[13540], Relative count = 1, Enemy count = 4
Object[7615], Relative count = 1, Enemy count = 3
Object[13555], Relative count = 1, Enemy count = 3
Object[13541], Relative count = 1, Enemy count = 2
Object[2201], Relative count = 1, Enemy count = 2

Object[13439], Relative count = 2, Enemy count = 3
Object[2016], Relative count = 1, Enemy count = 8

Object[6837], Relative count = 1, Enemy count = 8
Object[13513], Relative count = 1, Enemy count = 6
Object[7737], Relative count = 1, Enemy count = 4
Object[3894], Relative count = 1, Enemy count = 6
Object[2192], Relative count = 1, Enemy count = 2
Object[2124], Relative count = 2, Enemy count = 5
Object[13448], Relative count = 1, Enemy count = 4
Object[6330], Relative count = 1, Enemy count = 3

Object[6654], Relative count = 1, Enemy count = 2
Object[2019], Relative count = 1, Enemy count = 2

Object[7541], Relative count = 1, Enemy count = 2
Object[13522], Relative count = 1, Enemy count = 8
Object[9990], Relative count = 3, Enemy count = 13
Object[7631], Relative count = 2, Enemy count = 4
Object[7671], Relative count = 1, Enemy count = 2
Object[7611], Relative count = 1, Enemy count = 4
Object[3883], Relative count = 1, Enemy count = 3
Object[13460], Relative count = 2, Enemy count = 5
Object[7830], Relative count = 1, Enemy count = 2
Object[7728], Relative count = 1, Enemy count = 7
Object[3898], Relative count = 1, Enemy count = 4
Object[7908], Relative count = 1, Enemy count = 2
Object[7866], Relative count = 1, Enemy count = 2
Object[7578], Relative count = 1, Enemy count = 2
Object[7926], Relative count = 2, Enemy count = 5
Object[7646], Relative count = 1, Enemy count = 2
Object[5527], Relative count = 1, Enemy count = 3
Object[7593], Relative count = 1, Enemy count = 3
Object[2160], Relative count = 1, Enemy count = 2
Object[7632], Relative count = 1, Enemy count = 7
Object[7850], Relative count = 1, Enemy count = 3
Object[13323], Relative count = 1, Enemy count = 3
Object[7748], Relative count = 1, Enemy count = 4
Object[2108], Relative count = 1, Enemy count = 19
Object[2007], Relative count = 1, Enemy count = 20
Object[7703], Relative count = 1, Enemy count = 2
Object[13332], Relative count = 1, Enemy count = 3
Object[7667], Relative count = 1, Enemy count = 4
Object[7979], Relative count = 1, Enemy count = 3
Object[13542], Relative count = 1, Enemy count = 2
Object[7931], Relative count = 1, Enemy count = 2
Object[7602], Relative count = 1, Enemy count = 4
Object[13508], Relative count = 1, Enemy count = 4
Object[13486], Relative count = 1, Enemy count = 3
Object[891], Relative count = 1, Enemy count = 2
Object[13271], Relative count = 1, Enemy count = 2
Object[2011], Relative count = 1, Enemy count = 2
Object[2114], Relative count = 1, Enemy count = 9
Object[6624], Relative count = 1, Enemy count = 2
Object[7714], Relative count = 1, Enemy count = 4
Object[7701], Relative count = 1, Enemy count = 4
Object[6521], Relative count = 3, Enemy count = 4
Object[7862], Relative count = 1, Enemy count = 2
Object[7698], Relative count = 1, Enemy count = 2
Object[7889], Relative count = 1, Enemy count = 4
Object[7779], Relative count = 1, Enemy count = 3
Object[7767], Relative count = 1, Enemy count = 2
Object[7688], Relative count = 1, Enemy count = 2
Object[5511], Relative count = 1, Enemy count = 3
Object[7990], Relative count = 1, Enemy count = 2
Object[7657], Relative count = 1, Enemy count = 5
Object[2076], Relative count = 1, Enemy count = 2
Object[8195], Relative count = 1, Enemy count = 2
Object[7711], Relative count = 1, Enemy count = 4
Object[7598], Relative count = 1, Enemy count = 3
Object[7729], Relative count = 1, Enemy count = 2
Object[1315], Relative count = 1, Enemy count = 2
Object[7502], Relative count = 1, Enemy count = 2
Object[7802], Relative count = 1, Enemy count = 8
Object[5876], Relative count = 2, Enemy count = 3
Object[7911], Relative count = 1, Enemy count = 3
Object[7557], Relative count = 2, Enemy count = 3
Object[7695], Relative count = 1, Enemy count = 2
Object[7651], Relative count = 1, Enemy count = 2
Object[7663], Relative count = 1, Enemy count = 2
Object[1334], Relative count = 1, Enemy count = 2
Object[7758], Relative count = 2, Enemy count = 4
Object[1447], Relative count = 1, Enemy count = 2

Object[7760], Relative count = 1, Enemy count = 3
Object[7690], Relative count = 1, Enemy count = 5
Object[7662], Relative count = 1, Enemy count = 3
Object[7978], Relative count = 1, Enemy count = 2
Object[7637], Relative count = 1, Enemy count = 2
Object[7607], Relative count = 1, Enemy count = 6
Object[7732], Relative count = 1, Enemy count = 2
Object[7687], Relative count = 1, Enemy count = 3
Object[7867], Relative count = 1, Enemy count = 3
Object[8122], Relative count = 1, Enemy count = 4
Object[8311], Relative count = 1, Enemy count = 2
Object[8070], Relative count = 1, Enemy count = 2
Object[7784], Relative count = 1, Enemy count = 3
Object[7772], Relative count = 1, Enemy count = 7
Object[7648], Relative count = 1, Enemy count = 2
Object[7997], Relative count = 1, Enemy count = 3
Object[7771], Relative count = 2, Enemy count = 5
Object[7642], Relative count = 1, Enemy count = 2
Object[7677], Relative count = 2, Enemy count = 4
Object[8049], Relative count = 1, Enemy count = 4
Object[7681], Relative count = 1, Enemy count = 2
Object[7816], Relative count = 1, Enemy count = 3
Object[8028], Relative count = 1, Enemy count = 2
Object[1197], Relative count = 2, Enemy count = 4
Object[7724], Relative count = 1, Enemy count = 2
Object[7854], Relative count = 1, Enemy count = 2
Object[1147], Relative count = 1, Enemy count = 2
